Sr.No,Class Name,Line Coverage,Mutation Score,Line Coverage decimal,Mutation Score Decimal
103,AbsoluteNameLocationStrategy,100,100,1,1
1,AbstractConfiguration,96,96,0.96,0.96
2,AbstractHierarchicalConfiguration,97,97,0.97,0.97
138,AbstractImmutableNodeHandler,100,100,1,1
80,AbstractListDelimiterHandler,96,96,0.96,0.96
3,AbstractYAMLBasedConfiguration,94,81,0.94,0.81
171,AppletConfiguration,100,100,1,1
45,AutoSaveListener,100,100,1,1
4,BaseConfiguration,95,100,0.95,1
65,BaseConfigurationBuilderProvider,97,100,0.97,1
5,BaseConfigurationXMLReader,100,90,1,0.9
87,BaseEventSource,98,100,0.98,1
6,BaseHierarchicalConfiguration,96,93,0.96,0.93
104,BasePathLocationStrategy,100,100,1,1
172,BaseWebConfiguration,100,100,1,1
46,BasicBuilderParameters,98,96,0.98,0.96
47,BasicConfigurationBuilder,99,93,0.99,0.93
38,BeanHelper,83,90,0.83,0.9
48,BuilderConfigurationWrapperFactory,100,100,1,1
133,CatalogResolver,81,43,0.81,0.43
105,ClasspathLocationStrategy,100,100,1,1
39,CombinedBeanDeclaration,100,100,1,1
66,CombinedBuilderParametersImpl,99,97,0.99,0.97
7,CombinedConfiguration,96,95,0.96,0.95
67,CombinedConfigurationBuilder,98,90,0.98,0.9
68,CombinedConfigurationBuilderProvider,100,80,1,0.8
106,CombinedLocationStrategy,100,100,1,1
126,CombinedReloadingController,100,100,1,1
8,CompositeConfiguration,95,86,0.95,0.86
163,ConfigurationAttributePointer,96,93,0.96,0.93
49,ConfigurationBuilderEvent,100,100,1,1
50,ConfigurationBuilderResultCreatedEvent,100,100,1,1
9,ConfigurationConverter,92,100,0.92,1
69,ConfigurationDeclaration,92,88,0.92,0.88
40,ConfigurationDynaBean,90,89,0.9,0.89
41,ConfigurationDynaClass,89,81,0.89,0.81
88,ConfigurationErrorEvent,100,100,1,1
89,ConfigurationEvent,100,100,1,1
94,ConfigurationInterpolator,100,100,1,1
107,ConfigurationLogger,100,100,1,1
10,ConfigurationLookup,100,100,1,1
11,ConfigurationMap,92,81,0.92,0.81
164,ConfigurationNodeIteratorAttribute,100,100,1,1
165,ConfigurationNodeIteratorBase,100,97,1,0.97
166,ConfigurationNodeIteratorChildren,100,100,1,1
167,ConfigurationNodePointer,95,83,0.95,0.83
168,ConfigurationNodePointerFactory,74,60,0.74,0.6
139,ConfigurationNodeVisitorAdapter,75,100,0.75,1
135,ConfigurationPropertiesFactoryBean,86,75,0.86,0.75
136,ConfigurationPropertySource,30,33,0.3,0.33
78,Configurations,100,100,1,1
12,ConfigurationUtils,88,89,0.88,0.89
13,ConfigurationXMLReader,78,70,0.78,0.7
95,ConstantLookup,100,85,1,0.85
42,ConstructorArg,100,100,1,1
51,CopyObjectDefaultHandler,100,100,1,1
52,DatabaseBuilderParametersImpl,100,100,1,1
15,DatabaseConfiguration,92,74,0.92,0.74
14,DataConfiguration,98,89,0.98,0.89
43,DefaultBeanFactory,100,100,1,1
140,DefaultConfigurationKey,97,87,0.97,0.87
81,DefaultConversionHandler,100,100,1,1
134,DefaultEntityResolver,40,38,0.4,0.38
141,DefaultExpressionEngine,100,98,1,0.98
142,DefaultExpressionEngineSymbols,100,95,1,0.95
108,DefaultFileSystem,76,63,0.76,0.63
82,DefaultListDelimiterHandler,100,100,1,1
96,DefaultLookups,100,100,1,1
53,DefaultParametersManager,100,100,1,1
54,DefaultReloadingDetectorFactory,100,67,1,0.67
83,DisabledListDelimiterHandler,100,100,1,1
97,DummyLookup,100,100,1,1
16,DynamicCombinedConfiguration,62,47,0.62,0.47
98,EnvironmentLookup,0,0,0,0
90,Event,100,100,1,1
91,EventListenerList,100,100,1,1
55,EventListenerParameters,100,100,1,1
92,EventListenerRegistrationData,80,71,0.8,0.71
93,EventType,100,100,1,1
99,ExprLookup,72,66,0.72,0.66
56,FileBasedBuilderParametersImpl,100,100,1,1
57,FileBasedConfigurationBuilder,100,92,1,0.92
70,FileExtensionConfigurationBuilderProvider,96,93,0.96,0.93
109,FileHandler,95,96,0.95,0.96
127,FileHandlerReloadingDetector,95,88,0.95,0.88
110,FileLocator,100,96,1,0.96
111,FileLocatorUtils,97,94,0.97,0.94
112,FileSystem,78,100,0.78,1
113,FileSystemLocationStrategy,100,100,1,1
114,FileUtils,89,80,0.89,0.8
17,FindNodeVisitor,100,100,1,1
58,HierarchicalBuilderParametersImpl,100,100,1,1
18,HierarchicalConfigurationConverter,98,89,0.98,0.89
19,HierarchicalConfigurationXMLReader,100,100,1,1
115,HomeDirectoryLocationStrategy,100,100,1,1
21,ImmutableConfigurationInvocationHandler,100,100,1,1
143,ImmutableNode,100,96,1,0.96
59,INIBuilderParametersImpl,50,25,0.5,0.25
20,INIConfiguration,98,86,0.98,0.86
144,InMemoryNodeModel,100,97,1,0.97
100,InterpolatorSpecification,100,100,1,1
60,JndiBuilderParametersImpl,100,100,1,1
22,JNDIConfiguration,94,85,0.94,0.85
23,JSONConfiguration,64,40,0.64,0.4
84,LegacyListDelimiterHandler,97,92,0.97,0.92
85,ListDelimiterHandler,100,100,1,1
128,ManagedReloadingDetector,100,100,1,1
24,MapConfiguration,93,94,0.93,0.94
145,MergeCombiner,100,94,1,0.94
146,ModelTransaction,100,97,1,0.97
71,MultiFileBuilderParametersImpl,100,100,1,1
72,MultiFileConfigurationBuilder,99,98,0.99,0.98
73,MultiFileConfigurationBuilderProvider,100,90,1,0.9
74,MultiWrapDynaBean,100,100,1,1
75,MultiWrapDynaClass,94,75,0.94,0.75
147,NodeAddData,100,100,1,1
148,NodeCombiner,85,50,0.85,0.5
149,NodeHandlerDecorator,100,100,1,1
150,NodeNameMatchers,100,100,1,1
151,NodeSelector,100,87,1,0.87
152,NodeTracker,99,95,0.99,0.95
153,NodeTreeWalker,100,100,1,1
154,NodeUpdateData,94,90,0.94,0.9
155,OverrideCombiner,100,100,1,1
79,Parameters,100,100,1,1
118,ParseException,48,19,0.48,0.19
25,PatternSubtreeConfigurationWrapper,23,8,0.23,0.08
129,PeriodicReloadingTrigger,100,100,1,1
26,PrefixedKeysIterator,90,100,0.9,1
61,PropertiesBuilderParametersImpl,100,100,1,1
27,PropertiesConfiguration,96,94,0.96,0.94
28,PropertiesConfigurationLayout,97,95,0.97,0.95
86,PropertyConverter,88,92,0.88,0.92
119,PropertyListConfiguration,87,70,0.87,0.7
120,PropertyListParser,68,49,0.68,0.49
121,PropertyListParserTokenManager,63,33,0.63,0.33
116,ProvidedURLLocationStrategy,100,100,1,1
156,QueryResult,100,93,1,0.93
137,ReadWriteSynchronizer,100,100,1,1
157,ReferenceTracker,95,100,0.95,1
62,ReloadingBuilderSupportListener,100,100,1,1
76,ReloadingCombinedConfigurationBuilder,100,92,1,0.92
130,ReloadingController,100,100,1,1
131,ReloadingEvent,100,100,1,1
63,ReloadingFileBasedConfigurationBuilder,100,100,1,1
77,ReloadingMultiFileConfigurationBuilder,100,100,1,1
173,ServletConfiguration,100,100,1,1
174,ServletContextConfiguration,100,100,1,1
175,ServletFilterConfiguration,100,100,1,1
176,ServletRequestConfiguration,94,100,0.94,1
122,SimpleCharStream,36,17,0.36,0.17
29,StrictConfigurationComparator,100,100,1,1
101,StringLookupAdapter,100,100,1,1
30,SubnodeConfiguration,100,100,1,1
31,SubsetConfiguration,95,95,0.95,0.95
32,SystemConfiguration,91,88,0.91,0.88
102,SystemPropertiesLookup,0,0,0,0
123,Token,58,25,0.58,0.25
124,TokenMgrError,0,0,0,0
158,TrackedNodeHandler,100,100,1,1
159,TrackedNodeModel,100,84,1,0.84
160,TreeData,97,94,0.97,0.94
161,TreeUtils,92,0,0.92,0
162,UnionCombiner,100,100,1,1
132,VFSFileHandlerReloadingDetector,87,100,0.87,1
117,VFSFileSystem,21,17,0.21,0.17
44,XMLBeanDeclaration,88,89,0.88,0.89
64,XMLBuilderParametersImpl,100,100,1,1
33,XMLConfiguration,96,88,0.96,0.88
34,XMLDocumentHelper,100,100,1,1
35,XMLListReference,100,85,1,0.85
36,XMLPropertiesConfiguration,87,74,0.87,0.74
125,XMLPropertyListConfiguration,84,82,0.84,0.82
169,XPathContextFactory,100,100,1,1
170,XPathExpressionEngine,99,87,0.99,0.87
37,YAMLConfiguration,41,27,0.41,0.27
